Type,Ratio,Sample Avg,Original Avg,Difference (%),Original Std Dev,Sample Std Dev,Original Min,Sample Min,Original Max,Sample Max
Body,Shoulder To Waist,1.5952710558763599,1.6223645616856381,1.6700010866317307,0.22201942305619388,0.17864218501485996,1.2132196771988821,1.2675432317591286,2.160179328676748,2.055744803126349
Body,Upper To Forearm,1.3370924380742502,1.2907452619600703,3.5907299046598085,0.4574417236979144,0.4018640378445356,0.5885498265475516,0.9345848886864401,2.7965091637877757,3.6777727685764785
Body,Thigh To Calf,1.6159688771820853,1.8371719783679903,12.040413406610183,0.3055908236560191,0.2173665623638408,1.297694346812511,1.11632346651531,2.506713014183304,2.0535373476403067
Body,Arm To Leg,0.7579527056755503,0.8201855834047058,7.58765808474932,0.2825321687976723,0.1320146577117569,0.3588857880778352,0.3632280053325599,1.4151088390012605,1.0435175050673229
Body,Waist To Leg,0.30523361834341844,0.5469258528331342,44.19104221124751,0.35590632263020683,0.11963083357021836,0.19322305720577532,0.180148674463669,1.3105359972946315,0.688951508667116
Face,Interocular Ratio,0.7532420754432678,0.5975107550621033,26.063349843025208,0.18376269936561584,0.03701847046613693,0.3148564398288727,0.6449155211448669,0.8293657302856445,0.8409515619277954
Face,Eye To Nose Ratio,0.4790882731483411,0.4521478746053987,5.958315864351688,0.06547352279547208,0.023383610137996464,0.3268785643184007,0.40845718721937513,0.5625704502665175,0.5224875641876935
Face,Nose To Mouth Ratio,0.1720423549413681,0.21641001105308533,20.501665771007538,0.05178792402148247,0.016581276431679726,0.14927777647972107,0.11279740184545517,0.31023433804512024,0.2214643806219101
Face,Chin Length Ratio,0.5479792356491089,0.5723889470100403,4.2645324021577835,0.049496378749608994,0.021594351157546043,0.50483638048172,0.48261934518814087,0.6699146032333374,0.6151931881904602
Face,Eyebrow Height Ratio,0.27180127873795284,0.25537173659422757,6.433578892808707,0.04913610239890785,0.01589967711519322,0.16741417725849417,0.24628680586468893,0.42445575284933923,0.3577920887784965
Face,Intercanthal Ratio,0.2770906984806061,0.23361237347126007,18.6113104224205,0.05603550374507904,0.01726100780069828,0.12968449294567108,0.25274282693862915,0.30811214447021484,0.36581701040267944
